22300	1	0	1	6	7	5630	1011112	t1
22300	2	0	0	6	7	2830	1000002	t1
22300	3	0	1	6	7	2149	1111012	t1
22300	4	1	1	6	7	916	1110112	t1
22300	5	1	1	6	7	799	0111112	t1
22300	6	0	0	6	7	2482	0100002	t1
22300	7	0	0	6	7	1082	0010002	t1
22300	8	0	0	6	7	916	0001002	t1
22300	9	1	1	6	7	1933	1101112	t1
22300	10	0	0	6	7	933	0000102	t1
22300	11	0	1	6	7	1047	1011112	t1
22300	12	0	0	6	7	832	1000002	t1
22300	13	1	1	6	7	817	1111012	t1
22300	14	1	1	6	7	1232	1110112	t1
22300	15	1	1	6	7	928	0111112	t1
22300	16	1	0	6	7	1150	0100002	t1
22300	17	0	0	6	7	666	0010002	t1
22300	18	0	0	6	7	848	0001002	t1
22300	19	1	1	6	7	799	1101112	t1
22300	20	0	0	6	7	767	0000102	t1
22300	21	0	1	6	7	800	1011112	t1
22300	22	0	0	6	7	1081	1000002	t1
22300	23	1	1	6	7	2181	1111012	t1
22300	24	0	1	6	7	1482	1110112	t1
22300	25	1	1	6	7	1800	0111112	t1
22300	26	0	0	6	7	1996	0100002	t1
22300	27	0	0	6	7	983	0010002	t1
22300	28	0	0	6	7	2282	0001002	t1
22300	29	1	1	6	7	1049	1101112	t1
22300	30	0	0	6	7	1749	0000102	t1
